"Code","Cancer","Age_0","Age_5","Age_10","Age_15","Age_20","Age_25","Age_30","Age_35","Age_40","Age_45","Age_50","Age_55","Age_60","Age_65","Age_70","Age_75","Age_80","Age_85"
1,"구강암, 인두암",0,0,0.198878721766679,0.199277420074809,0.197985301571211,0.53199318339401,3.22293996583684,2.10564549878794,2.15073189406355,5.86337412492999,5.93117171780078,9.58549752566357,10.8175198273752,11.3538742702058,17.5663279017847,19.510229277178,24.2047491254594,30.4670108054024
2,"식도암",0,0,0,0,0.197985301571211,0,0,0.131602843674246,1.43382126270903,2.93168706246499,3.11386515184541,7.28497811950431,8.54014723213828,11.4906679361119,9.90921061126317,11.9939934081012,10.5655650944465,18.6956657214969
3,"위암",0,0,0,0,0.791941206284845,1.59597955018203,4.60419995119548,6.58014218371231,12.1874807330268,24.996489690491,40.7768055598804,56.1071121835508,70.5985504523431,99.8593761114485,153.742904029295,185.187258221083,228.792509590652,274.376205264561
4,"결장암",0,0,0,0.199277420074809,0.593955904713634,1.06398636678802,2.45557330730426,7.63296493310627,9.60660246015052,20.0589114800236,33.6593994985194,56.8739519856039,80.0496467225762,102.868836761383,134.224761916201,185.187258221083,218.803248046811,274.89552931238
5,"직장암",0,0,0,0,0.197985301571211,1.41864848905069,1.84167998047819,3.55327677920465,9.46322033387962,14.1955373550937,24.6143626288732,32.4628849535806,40.7649694547401,53.3495297033766,60.3561009958757,62.8485254584504,64.9302000349624,77.5523911410242
6,"간암",1.56166339461003,0.21362454631487,0,0,0.197985301571211,0.177331061131337,0.306946663413032,1.57923412409095,1.00367488389632,2.93168706246499,8.30364040492109,15.2089894073862,27.670077032128,48.151370398945,77.6221497882282,113.7030575088,121.407947994368,119.098314966573
7,"담낭암",0,0,0,0,0,0,0.153473331706516,0.789617062045477,1.57720338897994,1.23439455261684,3.41042373773545,8.30743118890843,13.094892422612,20.2454625541019,33.0307020375439,50.8545320503492,70.8853367245596,128.446147827321
8,"췌장암",0,0,0,0.199277420074809,0,0,0.306946663413032,0.526411374696984,2.00734976779265,4.47468025323604,9.19331616259121,13.8031164369555,23.5708063607017,38.7126074514246,48.9454948374514,70.6846011517432,96.6268953183021,125.330203540405
9,"기관지암, 폐암",0,0,0,0,0.197985301571211,0.709324244525347,1.53473331706516,4.34289384125012,7.02572418727426,14.0412380360165,28.0247863666087,50.8670402028547,79.7080408332906,107.656615068096,141.431460542574,171.594065691902,192.101183535392,213.788399685636
10,"비강암, 후두암, 나머지암",0.669284311975727,0.21362454631487,0,0.199277420074809,0.395970603142423,0.177331061131337,0.76736665853258,0.789617062045477,1.00367488389632,0.925795914462629,2.22418939417529,1.91709950513271,4.89635107975928,3.83022264537063,4.35404708676715,6.55671639642867,4.41832722131401,6.75121262165166
11,"뼈암",0,0.21362454631487,0.596636165300038,0.996387100374044,0.197985301571211,0.709324244525347,0.613893326826064,0.921219905719723,0.43014637881271,0.462897957231315,1.33451363650518,0.8946464357286,0.455474519047375,1.36793665906094,0.900837328296652,0.639679648432065,0.960505917676959,1.38486412751829
12,"결합조직암",0.223094770658576,0.21362454631487,0.397757443533359,0.398554840149618,0.593955904713634,0.53199318339401,0.76736665853258,0.789617062045477,1.43382126270903,1.69729250984815,1.18623434356016,1.91709950513271,2.73284711428425,2.3254923204036,2.70251198488996,4.31783762691644,6.72354142373871,6.2318885738323
13,"악성흑색종",0,0,0,0.398554840149618,0,0.53199318339401,0.460419995119548,0.658014218371231,0.286764252541807,0,0.889675757670117,0.639033168377572,1.93576670595134,1.36793665906094,1.65153510187719,2.55871859372826,4.03412485424323,4.50080841443444
14,"비흑색종피부암(기저세포암)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"비흑색종피부암(편평세포암)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
