"Code","Cancer","Age_0","Age_5","Age_10","Age_15","Age_20","Age_25","Age_30","Age_35","Age_40","Age_45","Age_50","Age_55","Age_60","Age_65","Age_70","Age_75","Age_80","Age_85"
1,"구강암, 인두암",0.0326667892760157,0.192533301843442,0.244521047454811,0.303004713304186,0.558727031389066,0.817620614306311,1.16765160241648,1.39973208022933,2.21954422513008,3.08850457574225,4.13404876585376,4.70459311548237,5.52619789390882,7.01315375070347,7.92141502025213,9.40309647325113,10.5415325842286,9.56302413250874
2,"식도암",0,0,0,0.0131741179697472,0.0109554319880209,0.0103496280291938,0.00926707620965463,0.0828788731714734,0.256101256745778,0.388619781053661,0.656419905388942,1.04349997674233,1.75313864220556,2.43093979702298,4.00329576292312,6.59056315312691,8.78461048685717,7.82429247205261
3,"위암",0,0.0128355534562295,0.0366781571182217,0.197611769546208,1.65427023019115,4.90572368583787,11.5838452620683,18.0123417692669,26.7293830188742,34.0042308421953,44.7622509951396,64.8208036400109,91.2203769591086,124.795413827702,166.576852773546,203.216026906289,207.03569995425,166.918239403789
4,"결장암",0.0163333946380079,0.0128355534562295,0.0489042094909622,0.144915297667219,0.438217279520836,0.869368754452281,2.42797396692951,4.07948231277363,7.98656511777575,14.430066080703,24.3713347851852,37.3891347598862,50.8791323335743,68.3029544738758,86.6812905262716,103.559995533529,106.399202216814,97.1516315279865
5,"직장암",0,0,0,0.0922188257882305,0.405350983556773,0.765872474160342,1.92755185160816,4.10710860383079,7.9675946543131,13.4891971370994,22.5557052596413,33.3919992557546,41.8657130100609,53.1364716694404,66.437674363405,73.50366930653,77.5856798199225,59.9862422857366
6,"간암",0.588002206968284,0.0641777672811474,0.0978084189819244,0.144915297667219,0.350573823616669,0.56922954160566,1.45493096491578,2.70737652360146,6.21282678401795,11.8426764857931,21.9411844971495,35.1429568438477,52.1368187508087,62.7526671496994,75.6367369675688,87.5243577978955,95.9982234003751,80.6336807536532
7,"담낭암",0,0,0,0.0263482359394944,0.0219108639760418,0.144894792408713,0.305813514918603,0.911667604886207,1.6599155529819,3.50780486582646,7.56977848342142,14.1314657867309,21.7808420439234,32.957520079993,50.5948443229007,68.8021210699045,85.1755832805671,83.4591197018945
8,"췌장암",0.0163333946380079,0.025671106912459,0.0611302618637027,0.0922188257882305,0.098598887892188,0.238041444671458,0.296546438708948,0.644613458000348,1.50815184528069,3.26236079358205,5.53068686242598,10.5941777299772,16.8453756490186,28.3322806431793,42.4462919543976,54.8234106877945,65.9899939772711,56.2914375072674
9,"기관지암, 폐암",0.0653335785520315,0.0128355534562295,0.0122260523727405,0.144915297667219,0.295796663676564,0.507131773430497,1.45493096491578,3.57300031005907,6.09900400324205,12.3846988119996,20.963537829549,31.8532789510667,48.5162063375581,71.078098135964,106.357063318511,150.533499790529,186.936511160321,183.110177991787
10,"비강암, 후두암, 나머지암",0.441001655226213,0.115519981106065,0.0855823666091838,0.184437651576461,0.230064071748439,0.372586609050977,0.463353810482731,0.718283567486102,0.834700392356611,1.25790087025264,2.10892352582405,2.1754321549035,3.06799262385972,4.53918847054734,5.67843370627393,7.26221290121627,8.5737798351726,7.7156217432741
11,"뼈암",0.343001287398165,0.423573264055573,1.3570918133742,0.922188257882305,0.525860735425003,0.507131773430497,0.481887962902041,0.442020656914525,0.644995757730108,0.613610180611043,0.879882000840497,1.25573726014755,1.52446838452657,1.31227723556108,1.73192228041355,2.22483979054603,1.82719898126629,2.28208530434868
12,"결합조직암",1.09433744074653,0.359395496774425,0.464589990164141,0.606009426608372,0.635415055305212,0.817620614306311,0.880372239917189,0.865623786457611,1.13822780775901,1.57493279690168,1.60613381105805,2.01625419234959,2.3438701412096,3.44203865065201,3.74776624614079,4.0298984885362,4.42744368537601,4.23815842236183
13,"악성흑색종",0.0490001839140236,0.0128355534562295,0.0244521047454811,0.0263482359394944,0.098598887892188,0.124195536350326,0.231676905241366,0.322306729000174,0.531172976954207,0.7056517077027,1.06144495339489,1.52103386440408,1.90558548065821,2.43093979702298,2.92439335873107,3.7360517237471,3.86522861421715,3.9121462360263
14,"비흑색종피부암(기저세포암)",0.0163333946380079,0.0513422138249179,0.171164733218368,0.171263533606714,0.284841231688543,0.486432517372109,0.778434401610989,0.911667604886207,1.12874257602769,2.05559410504699,3.77092286074499,5.94264393534616,9.52792740329106,15.9409415008321,24.8431474649484,36.6468893801261,52.4968322694584,60.7469373871862
15,"비흑색종피부암(편평세포암)",0.0163333946380079,0.0513422138249179,0.171164733218368,0.171263533606714,0.284841231688543,0.486432517372109,0.778434401610989,0.911667604886207,1.12874257602769,2.05559410504699,3.77092286074499,5.94264393534616,9.52792740329106,15.9409415008321,24.8431474649484,36.6468893801261,52.4968322694584,60.7469373871862
16,"유방암(여성)",0,0.0128355534562295,0.0366781571182217,0.158089415636967,1.54471591031095,7.5345292052531,24.4558141172786,48.4565145142547,86.0025961079249,114.049678902906,99.231136761456,85.0894642052094,74.1082193427979,54.5778253544009,44.320175077468,33.0787500934013,26.2835545766767,24.9942676190569
17,"유방암(남성)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"난소암",0.22866752493211,0.590435458986556,0.953632085073763,2.08151063922006,2.6731254050771,2.8461477080283,3.44735234999152,4.66884318865967,7.28465796965769,11.9756253582589,13.9524145847564,14.5205674729738,14.3490586693563,14.8868171640699,15.8428300405043,16.8751999207453,16.233960179712,16.7352922318903
