"Code","Cancer","Age_0","Age_5","Age_10","Age_15","Age_20","Age_25","Age_30","Age_35","Age_40","Age_45","Age_50","Age_55","Age_60","Age_65","Age_70","Age_75","Age_80","Age_85"
1,"구강암, 인두암",0.0359217143710027,0.0968842509321476,0.192889997534866,0.392439553884526,0.791367864845975,0.97275456549786,1.42700320227791,1.58885371730446,2.36457584589468,3.29346934536776,4.45783483988977,5.19025082414572,5.84629516150928,7.39353167688232,8.69118276105034,10.6057900648758,12.0969642380222,10.9704705196977
2,"식도암",0.0179608571855014,0,0,0,0,0,0.031021808745172,0.111498506477506,0.147785990368418,0.399785296258514,0.821720707813783,1.29404627593877,1.56020760445186,2.13199722957718,2.99539458083197,5.128770120925,5.86519478207136,8.77637641575813
3,"위암",0,0,0.0257186663379821,0.147164832706697,1.10791501078437,3.86915860883419,10.0717472392658,17.7468456143363,28.9198709902197,35.8474148978468,49.2518849245886,61.3546723439665,87.2460919041186,121.269567186959,161.070535869283,189.226290202276,205.386552993606,175.754503567294
4,"결장암",0.0179608571855014,0.0322947503107159,0.0642966658449553,0.17169230482448,0.567146969806282,1.03833352496963,2.78162218415042,5.25901288885569,9.92013460348003,17.0955807638165,31.1021287907517,43.0129729545735,63.9326449410448,81.5048849142028,104.22611598304,126.319708533894,138.565226726436,130.435111558336
5,"직장암",0,0,0.0128593331689911,0.147164832706697,0.382494468008888,1.32250901601394,3.23660871241294,5.24972134664923,8.74708330493071,15.2775095355932,25.3192693095122,32.2808282965161,43.2016105646499,55.001616601569,70.7548507805613,81.6804130369537,88.3444964049498,78.4577788201826
6,"간암",0.790277716162059,0.0968842509321476,0.115733998520919,0.0858461524122401,0.290168217110191,0.590210635245893,1.22019114397676,2.40650943147283,5.08938004331238,10.0327071965827,17.4204790056522,28.4408866298717,44.8873521142875,58.5419055791238,72.6837033515515,87.7589554024945,95.7283576930932,86.8558631490546
7,"담낭암",0.0179608571855014,0.0161473751553579,0,0,0.0131894644140996,0.153017572100787,0.248174469961376,0.585367159006905,1.51480640127628,3.50288069102698,6.48132208288122,12.3918996641528,21.233170157138,33.4273694068569,49.8551658643018,71.3912137202832,92.3768178176239,101.684912954991
8,"췌장암",0,0.0161473751553579,0.141452664858902,0.0858461524122401,0.171463037383295,0.251386011308436,0.361921102027006,0.854821882994211,1.54251627447036,3.35058153054755,6.49159359172889,10.943130463917,17.7720199541586,31.7648027599389,44.2047624504597,59.8673104856122,72.6865210492414,73.3886648559085
9,"기관지암, 폐암",0.053882571556504,0.0322947503107159,0.0514373326759642,0.134901096647806,0.250599823867892,0.633929941560403,1.5510904372586,3.54007758066081,7.01983454249983,13.4118448197202,24.5591776547844,37.9493136139435,58.2477505662029,78.844778279134,109.717672714565,151.203741342826,189.047796100693,208.438939874256
10,"비강암, 후두암, 나머지암",0.66455171586355,0.0807368757767897,0.115733998520919,0.208483513001155,0.237410359453793,0.37161410367334,0.682479792393783,0.910571136232963,1.08992167896708,1.46587941961455,1.84887159258101,2.48963250914307,3.24594915408951,3.57940819277636,5.01501668457474,5.69863346769445,6.33650507705923,5.52306446853745
