"Sex","Cancer","Age","Case","PY"
1,1,1,24,165303
1,1,2,11,184334
1,1,3,13,204443
1,1,4,26,214364
1,1,5,37,167487
1,1,6,66,189431
1,1,7,78,214725
1,1,8,159,204510
1,1,9,280,211746
1,1,10,517,238820
1,1,11,1270,281592
1,1,12,2101,279118
1,1,13,2658,206706
1,1,14,3729,202461
1,1,15,5326,192412
1,1,16,5344,152345
1,1,17,3543,89016
1,1,18,2304,57788
1,1,19,0,0
2,1,1,22,158723
2,1,2,13,176405
2,1,3,14,193221
2,1,4,26,208825
2,1,5,54,180621
2,1,6,110,201783
2,1,7,198,230209
2,1,8,347,225413
2,1,9,595,229005
2,1,10,926,251283
2,1,11,1291,289663
2,1,12,1582,294126
2,1,13,1568,243240
2,1,14,2089,248740
2,1,15,2697,248273
2,1,16,2979,222182
2,1,17,2576,168945
2,1,18,3002,161778
2,1,19,0,0
1,2,1,24,165303
1,2,2,11,184334
1,2,3,13,204443
1,2,4,25,214364
1,2,5,35,167487
1,2,6,64,189431
1,2,7,74,214725
1,2,8,155,204510
1,2,9,274,211746
1,2,10,506,238820
1,2,11,1252,281592
1,2,12,2075,279118
1,2,13,2616,206706
1,2,14,3671,202461
1,2,15,5204,192412
1,2,16,5234,152345
1,2,17,3445,89016
1,2,18,2193,57788
1,2,19,0,0
2,2,1,22,158723
2,2,2,13,176405
2,2,3,14,193221
2,2,4,25,208825
2,2,5,51,180621
2,2,6,107,201783
2,2,7,197,230209
2,2,8,341,225413
2,2,9,590,229005
2,2,10,917,251283
2,2,11,1267,289663
2,2,12,1559,294126
2,2,13,1534,243240
2,2,14,2038,248740
2,2,15,2605,248273
2,2,16,2869,222182
2,2,17,2443,168945
2,2,18,2754,161778
2,2,19,0,0
1,3,1,0,165303
1,3,2,0,184334
1,3,3,1,204443
1,3,4,1,214364
1,3,5,2,167487
1,3,6,4,189431
1,3,7,0,214725
1,3,8,7,204510
1,3,9,13,211746
1,3,10,36,238820
1,3,11,62,281592
1,3,12,85,279118
1,3,13,77,206706
1,3,14,104,202461
1,3,15,126,192412
1,3,16,102,152345
1,3,17,58,89016
1,3,18,28,57788
1,3,19,0,0
2,3,1,0,158723
2,3,2,0,176405
2,3,3,1,193221
2,3,4,0,208825
2,3,5,0,180621
2,3,6,3,201783
2,3,7,3,230209
2,3,8,4,225413
2,3,9,10,229005
2,3,10,13,251283
2,3,11,12,289663
2,3,12,24,294126
2,3,13,21,243240
2,3,14,39,248740
2,3,15,35,248273
2,3,16,36,222182
2,3,17,30,168945
2,3,18,51,161778
2,3,19,0,0
1,4,1,0,165303
1,4,2,0,184334
1,4,3,0,204443
1,4,4,0,214364
1,4,5,0,167487
1,4,6,0,189431
1,4,7,0,214725
1,4,8,0,204510
1,4,9,0,211746
1,4,10,0,238820
1,4,11,1,281592
1,4,12,0,279118
1,4,13,0,206706
1,4,14,1,202461
1,4,15,2,192412
1,4,16,0,152345
1,4,17,2,89016
1,4,18,1,57788
1,4,19,0,0
2,4,1,0,158723
2,4,2,0,176405
2,4,3,0,193221
2,4,4,0,208825
2,4,5,0,180621
2,4,6,0,201783
2,4,7,0,230209
2,4,8,0,225413
2,4,9,0,229005
2,4,10,0,251283
2,4,11,0,289663
2,4,12,0,294126
2,4,13,0,243240
2,4,14,0,248740
2,4,15,1,248273
2,4,16,1,222182
2,4,17,1,168945
2,4,18,0,161778
2,4,19,0,0
1,5,1,0,165303
1,5,2,0,184334
1,5,3,0,204443
1,5,4,0,214364
1,5,5,0,167487
1,5,6,3,189431
1,5,7,0,214725
1,5,8,3,204510
1,5,9,5,211746
1,5,10,10,238820
1,5,11,17,281592
1,5,12,26,279118
1,5,13,18,206706
1,5,14,25,202461
1,5,15,30,192412
1,5,16,20,152345
1,5,17,12,89016
1,5,18,7,57788
1,5,19,0,0
2,5,1,0,158723
2,5,2,0,176405
2,5,3,0,193221
2,5,4,0,208825
2,5,5,0,180621
2,5,6,2,201783
2,5,7,2,230209
2,5,8,0,225413
2,5,9,4,229005
2,5,10,6,251283
2,5,11,3,289663
2,5,12,13,294126
2,5,13,6,243240
2,5,14,14,248740
2,5,15,9,248273
2,5,16,12,222182
2,5,17,8,168945
2,5,18,20,161778
2,5,19,0,0
1,6,1,0,165303
1,6,2,0,184334
1,6,3,0,204443
1,6,4,0,214364
1,6,5,0,167487
1,6,6,0,189431
1,6,7,0,214725
1,6,8,0,204510
1,6,9,0,211746
1,6,10,0,238820
1,6,11,1,281592
1,6,12,3,279118
1,6,13,3,206706
1,6,14,2,202461
1,6,15,3,192412
1,6,16,2,152345
1,6,17,2,89016
1,6,18,0,57788
1,6,19,0,0
2,6,1,0,158723
2,6,2,0,176405
2,6,3,0,193221
2,6,4,0,208825
2,6,5,0,180621
2,6,6,0,201783
2,6,7,0,230209
2,6,8,0,225413
2,6,9,1,229005
2,6,10,0,251283
2,6,11,0,289663
2,6,12,0,294126
2,6,13,0,243240
2,6,14,0,248740
2,6,15,2,248273
2,6,16,0,222182
2,6,17,1,168945
2,6,18,0,161778
2,6,19,0,0
1,7,1,0,165303
1,7,2,0,184334
1,7,3,0,204443
1,7,4,0,214364
1,7,5,0,167487
1,7,6,3,189431
1,7,7,0,214725
1,7,8,3,204510
1,7,9,5,211746
1,7,10,10,238820
1,7,11,16,281592
1,7,12,23,279118
1,7,13,15,206706
1,7,14,23,202461
1,7,15,27,192412
1,7,16,18,152345
1,7,17,10,89016
1,7,18,7,57788
1,7,19,0,0
2,7,1,0,158723
2,7,2,0,176405
2,7,3,0,193221
2,7,4,0,208825
2,7,5,0,180621
2,7,6,2,201783
2,7,7,2,230209
2,7,8,0,225413
2,7,9,3,229005
2,7,10,6,251283
2,7,11,3,289663
2,7,12,13,294126
2,7,13,6,243240
