"Sex","Cancer","Age","Case","PY"
2,7,5,0,158539
2,7,6,0,177253
2,7,7,0,200856
2,7,8,0,227309
2,7,9,1,222142
2,7,10,0,225296
2,7,11,2,247852
2,7,12,0,286215
2,7,13,0,291631
2,7,14,0,238433
2,7,15,1,240090
2,7,16,0,232774
2,7,17,0,196259
2,7,18,2,213970
2,7,19,0,0
1,8,1,0,150117
1,8,2,0,162752
1,8,3,0,182820
1,8,4,0,175331
1,8,5,0,148497
1,8,6,0,167863
1,8,7,0,190927
1,8,8,0,214001
1,8,9,0,203302
1,8,10,0,209245
1,8,11,2,234433
1,8,12,1,275263
1,8,13,3,273099
1,8,14,7,197596
1,8,15,7,185939
1,8,16,3,164562
1,8,17,4,114258
1,8,18,2,75378
1,8,19,0,0
2,8,1,0,143800
2,8,2,0,155840
2,8,3,0,174035
2,8,4,0,170466
2,8,5,0,158539
2,8,6,0,177253
2,8,7,0,200856
2,8,8,0,227309
2,8,9,0,222142
2,8,10,0,225296
2,8,11,1,247852
2,8,12,1,286215
2,8,13,0,291631
2,8,14,1,238433
2,8,15,3,240090
2,8,16,1,232774
2,8,17,1,196259
2,8,18,2,213970
2,8,19,0,0
1,9,1,0,150117
1,9,2,0,162752
1,9,3,0,182820
1,9,4,0,175331
1,9,5,0,148497
1,9,6,0,167863
1,9,7,0,190927
1,9,8,0,214001
1,9,9,0,203302
1,9,10,1,209245
1,9,11,2,234433
1,9,12,1,275263
1,9,13,7,273099
1,9,14,4,197596
1,9,15,6,185939
1,9,16,5,164562
1,9,17,7,114258
1,9,18,3,75378
1,9,19,0,0
2,9,1,0,143800
2,9,2,0,155840
2,9,3,0,174035
2,9,4,0,170466
2,9,5,0,158539
2,9,6,0,177253
2,9,7,0,200856
2,9,8,0,227309
2,9,9,0,222142
2,9,10,0,225296
2,9,11,0,247852
2,9,12,2,286215
2,9,13,2,291631
2,9,14,4,238433
2,9,15,8,240090
2,9,16,1,232774
2,9,17,2,196259
2,9,18,7,213970
2,9,19,0,0
1,10,1,0,150117
1,10,2,0,162752
1,10,3,0,182820
1,10,4,0,175331
1,10,5,0,148497
1,10,6,0,167863
1,10,7,0,190927
1,10,8,0,214001
1,10,9,1,203302
1,10,10,1,209245
1,10,11,3,234433
1,10,12,3,275263
1,10,13,7,273099
1,10,14,3,197596
1,10,15,4,185939
1,10,16,3,164562
1,10,17,3,114258
1,10,18,4,75378
1,10,19,0,0
2,10,1,0,143800
2,10,2,0,155840
2,10,3,0,174035
2,10,4,0,170466
2,10,5,1,158539
2,10,6,0,177253
2,10,7,0,200856
2,10,8,0,227309
2,10,9,1,222142
2,10,10,0,225296
2,10,11,2,247852
2,10,12,3,286215
2,10,13,3,291631
2,10,14,3,238433
2,10,15,8,240090
2,10,16,1,232774
2,10,17,1,196259
2,10,18,7,213970
2,10,19,0,0
1,11,1,0,150117
1,11,2,0,162752
1,11,3,0,182820
1,11,4,0,175331
1,11,5,0,148497
1,11,6,0,167863
1,11,7,0,190927
1,11,8,2,214001
1,11,9,0,203302
1,11,10,1,209245
1,11,11,2,234433
1,11,12,0,275263
1,11,13,1,273099
1,11,14,2,197596
1,11,15,2,185939
1,11,16,2,164562
1,11,17,1,114258
1,11,18,2,75378
1,11,19,0,0
2,11,1,0,143800
2,11,2,0,155840
2,11,3,0,174035
2,11,4,0,170466
2,11,5,0,158539
2,11,6,0,177253
2,11,7,0,200856
2,11,8,0,227309
