"Sex","Cancer","Age","Case","PY"
1,1,1,40,146755
1,1,2,13,148945
1,1,3,18,159545
1,1,4,26,186934
1,1,5,38,215161
1,1,6,59,230212
1,1,7,81,201087
1,1,8,162,182531
1,1,9,253,184163
1,1,10,650,216603
1,1,11,1057,224632
1,1,12,1495,178098
1,1,13,1836,141028
1,1,14,2408,114565
1,1,15,2508,84182
1,1,16,1818,53114
1,1,17,1181,32064
1,1,18,805,21895
1,1,19,2,6112
2,1,1,27,139718
2,1,2,11,140870
2,1,3,11,150958
2,1,4,15,179899
2,1,5,53,228267
2,1,6,94,239457
2,1,7,160,205060
2,1,8,266,184815
2,1,9,447,186057
2,1,10,816,215956
2,1,11,981,225260
2,1,12,985,181698
2,1,13,1026,149889
2,1,14,1298,132517
2,1,15,1262,110095
2,1,16,1194,83444
2,1,17,954,58958
2,1,18,898,53389
2,1,19,9,2560
1,2,1,40,146755
1,2,2,13,148945
1,2,3,17,159545
1,2,4,25,186934
1,2,5,38,215161
1,2,6,58,230212
1,2,7,78,201087
1,2,8,161,182531
1,2,9,250,184163
1,2,10,639,216603
1,2,11,1048,224632
1,2,12,1481,178098
1,2,13,1809,141028
1,2,14,2358,114565
1,2,15,2464,84182
1,2,16,1780,53114
1,2,17,1153,32064
1,2,18,772,21895
1,2,19,2,6112
2,2,1,27,139718
2,2,2,11,140870
2,2,3,11,150958
2,2,4,15,179899
2,2,5,53,228267
2,2,6,90,239457
2,2,7,157,205060
2,2,8,265,184815
2,2,9,445,186057
2,2,10,805,215956
2,2,11,974,225260
2,2,12,967,181698
2,2,13,1011,149889
2,2,14,1275,132517
2,2,15,1237,110095
2,2,16,1147,83444
2,2,17,917,58958
2,2,18,844,53389
2,2,19,9,2560
1,3,1,0,146755
1,3,2,0,148945
1,3,3,0,159545
1,3,4,3,186934
1,3,5,1,215161
1,3,6,2,230212
1,3,7,1,201087
1,3,8,8,182531
1,3,9,10,184163
1,3,10,27,216603
1,3,11,31,224632
1,3,12,45,178098
1,3,13,40,141028
1,3,14,56,114565
1,3,15,53,84182
1,3,16,25,53114
1,3,17,14,32064
1,3,18,15,21895
1,3,19,0,6112
2,3,1,0,139718
2,3,2,0,140870
2,3,3,0,150958
2,3,4,0,179899
2,3,5,0,228267
2,3,6,3,239457
2,3,7,4,205060
2,3,8,2,184815
2,3,9,7,186057
2,3,10,6,215956
2,3,11,10,225260
2,3,12,14,181698
2,3,13,14,149889
2,3,14,14,132517
2,3,15,15,110095
2,3,16,16,83444
2,3,17,4,58958
2,3,18,12,53389
2,3,19,0,2560
1,4,1,0,146755
1,4,2,0,148945
1,4,3,0,159545
1,4,4,0,186934
1,4,5,0,215161
1,4,6,0,230212
1,4,7,0,201087
1,4,8,0,182531
1,4,9,0,184163
1,4,10,0,216603
1,4,11,0,224632
1,4,12,0,178098
1,4,13,1,141028
1,4,14,0,114565
1,4,15,0,84182
1,4,16,0,53114
1,4,17,0,32064
1,4,18,0,21895
1,4,19,0,6112
2,4,1,0,139718
2,4,2,0,140870
2,4,3,0,150958
2,4,4,0,179899
2,4,5,0,228267
2,4,6,0,239457
2,4,7,0,205060
2,4,8,0,184815
2,4,9,0,186057
2,4,10,0,215956
2,4,11,0,225260
2,4,12,0,181698
2,4,13,0,149889
2,4,14,0,132517
2,4,15,1,110095
2,4,16,0,83444
2,4,17,0,58958
2,4,18,0,53389
2,4,19,0,2560
1,5,1,0,146755
1,5,2,0,148945
1,5,3,0,159545
1,5,4,0,186934
1,5,5,0,215161
1,5,6,1,230212
1,5,7,0,201087
1,5,8,5,182531
1,5,9,4,184163
1,5,10,11,216603
1,5,11,9,224632
1,5,12,10,178098
1,5,13,6,141028
1,5,14,9,114565
1,5,15,6,84182
1,5,16,5,53114
1,5,17,5,32064
1,5,18,3,21895
1,5,19,0,6112
2,5,1,0,139718
2,5,2,0,140870
2,5,3,0,150958
2,5,4,0,179899
2,5,5,0,228267
2,5,6,3,239457
2,5,7,4,205060
2,5,8,1,184815
2,5,9,4,186057
2,5,10,1,215956
2,5,11,4,225260
2,5,12,3,181698
2,5,13,4,149889
2,5,14,6,132517
