"Sex","Cancer","Age","Case","PY"
1,1,1,59,317930
1,1,2,32,329540
1,1,3,40,345845
1,1,4,52,351316
1,1,5,67,363873
1,1,6,106,398192
1,1,7,209,459626
1,1,8,425,538936
1,1,9,547,473272
1,1,10,1025,418362
1,1,11,1906,419640
1,1,12,4126,485737
1,1,13,7825,562957
1,1,14,9178,447555
1,1,15,10412,359430
1,1,16,10462,287214
1,1,17,8081,198218
1,1,18,5936,141415
1,1,19,0,0
2,1,1,51,304440
2,1,2,32,312271
2,1,3,18,328784
2,1,4,55,331347
2,1,5,98,346549
2,1,6,212,386664
2,1,7,471,450723
2,1,8,868,532553
2,1,9,1373,475295
2,1,10,1835,422795
2,1,11,2343,426551
2,1,12,3237,496217
2,1,13,4790,586574
2,1,14,4719,492595
2,1,15,5137,425957
2,1,16,5600,392539
2,1,17,5358,324300
2,1,18,7174,363704
2,1,19,0,0
1,2,1,59,317930
1,2,2,31,329540
1,2,3,39,345845
1,2,4,52,351316
1,2,5,65,363873
1,2,6,105,398192
1,2,7,206,459626
1,2,8,417,538936
1,2,9,537,473272
1,2,10,1005,418362
1,2,11,1884,419640
1,2,12,4078,485737
1,2,13,7749,562957
1,2,14,9101,447555
1,2,15,10264,359430
1,2,16,10301,287214
1,2,17,7883,198218
1,2,18,5745,141415
1,2,19,0,0
2,2,1,51,304440
2,2,2,31,312271
2,2,3,18,328784
2,2,4,55,331347
2,2,5,98,346549
2,2,6,206,386664
2,2,7,468,450723
2,2,8,863,532553
2,2,9,1365,475295
2,2,10,1814,422795
2,2,11,2324,426551
2,2,12,3208,496217
2,2,13,4736,586574
2,2,14,4654,492595
2,2,15,5050,425957
2,2,16,5446,392539
2,2,17,5173,324300
2,2,18,6781,363704
2,2,19,0,0
1,3,1,0,317930
1,3,2,0,329540
1,3,3,0,345845
1,3,4,0,351316
1,3,5,0,363873
1,3,6,0,398192
1,3,7,1,459626
1,3,8,0,538936
1,3,9,0,473272
1,3,10,0,418362
1,3,11,0,419640
1,3,12,1,485737
1,3,13,2,562957
1,3,14,1,447555
1,3,15,0,359430
1,3,16,4,287214
1,3,17,0,198218
1,3,18,0,141415
1,3,19,0,0
2,3,1,0,304440
2,3,2,0,312271
2,3,3,0,328784
2,3,4,0,331347
2,3,5,0,346549
2,3,6,0,386664
2,3,7,0,450723
2,3,8,0,532553
2,3,9,0,475295
2,3,10,0,422795
2,3,11,1,426551
2,3,12,1,496217
2,3,13,3,586574
2,3,14,3,492595
2,3,15,1,425957
2,3,16,5,392539
2,3,17,2,324300
2,3,18,3,363704
2,3,19,0,0
1,4,1,0,317930
1,4,2,0,329540
1,4,3,0,345845
1,4,4,0,351316
1,4,5,0,363873
1,4,6,0,398192
1,4,7,0,459626
1,4,8,0,538936
1,4,9,0,473272
1,4,10,0,418362
1,4,11,0,419640
1,4,12,3,485737
1,4,13,7,562957
1,4,14,6,447555
1,4,15,3,359430
1,4,16,3,287214
1,4,17,2,198218
1,4,18,0,141415
1,4,19,0,0
2,4,1,0,304440
2,4,2,0,312271
2,4,3,0,328784
2,4,4,0,331347
2,4,5,0,346549
2,4,6,0,386664
2,4,7,0,450723
2,4,8,0,532553
2,4,9,0,475295
2,4,10,0,422795
2,4,11,1,426551
2,4,12,0,496217
2,4,13,1,586574
2,4,14,1,492595
2,4,15,1,425957
2,4,16,1,392539
2,4,17,3,324300
2,4,18,1,363704
2,4,19,0,0
1,5,1,1,317930
1,5,2,0,329540
1,5,3,0,345845
1,5,4,1,351316
1,5,5,1,363873
1,5,6,0,398192
1,5,7,3,459626
1,5,8,7,538936
1,5,9,7,473272
1,5,10,11,418362
1,5,11,19,419640
1,5,12,34,485737
1,5,13,45,562957
