"Sex","Cancer","Age","Case","PY"
1,1,1,46,184998
1,1,2,13,204032
1,1,3,22,234749
1,1,4,31,246562
1,1,5,38,186458
1,1,6,39,213799
1,1,7,97,204654
1,1,8,122,213893
1,1,9,281,243602
1,1,10,670,288986
1,1,11,1235,288342
1,1,12,1489,211938
1,1,13,2415,212865
1,1,14,3770,213065
1,1,15,4627,182271
1,1,16,3661,119852
1,1,17,2313,66168
1,1,18,1654,47052
1,1,19,0,2615
2,1,1,38,176225
2,1,2,15,194647
2,1,3,15,223121
2,1,4,22,239487
2,1,5,43,205423
2,1,6,81,230394
2,1,7,191,226991
2,1,8,345,231569
2,1,9,529,254707
2,1,10,978,294133
2,1,11,1210,297977
2,1,12,1171,245649
2,1,13,1517,254364
2,1,14,1944,259834
2,1,15,2399,239970
2,1,16,2453,196536
2,1,17,1927,130233
2,1,18,2159,124017
2,1,19,0,1286
1,2,1,46,184998
1,2,2,13,204032
1,2,3,22,234749
1,2,4,31,246562
1,2,5,38,186458
1,2,6,39,213799
1,2,7,95,204654
1,2,8,118,213893
1,2,9,271,243602
1,2,10,661,288986
1,2,11,1213,288342
1,2,12,1463,211938
1,2,13,2373,212865
1,2,14,3709,213065
1,2,15,4551,182271
1,2,16,3579,119852
1,2,17,2250,66168
1,2,18,1578,47052
1,2,19,0,2615
2,2,1,38,176225
2,2,2,15,194647
2,2,3,14,223121
2,2,4,21,239487
2,2,5,42,205423
2,2,6,81,230394
2,2,7,189,226991
2,2,8,338,231569
2,2,9,524,254707
2,2,10,964,294133
2,2,11,1194,297977
2,2,12,1157,245649
2,2,13,1488,254364
2,2,14,1902,259834
2,2,15,2342,239970
2,2,16,2361,196536
2,2,17,1825,130233
2,2,18,1969,124017
2,2,19,0,1286
1,3,1,0,184998
1,3,2,0,204032
1,3,3,0,234749
1,3,4,1,246562
1,3,5,6,186458
1,3,6,1,213799
1,3,7,6,204654
1,3,8,6,213893
1,3,9,13,243602
1,3,10,29,288986
1,3,11,57,288342
1,3,12,52,211938
1,3,13,77,212865
1,3,14,97,213065
1,3,15,103,182271
1,3,16,52,119852
1,3,17,27,66168
1,3,18,21,47052
1,3,19,0,2615
2,3,1,0,176225
2,3,2,0,194647
2,3,3,0,223121
2,3,4,1,239487
2,3,5,1,205423
2,3,6,3,230394
2,3,7,3,226991
2,3,8,5,231569
2,3,9,10,254707
2,3,10,12,294133
2,3,11,16,297977
2,3,12,17,245649
2,3,13,19,254364
2,3,14,30,259834
2,3,15,28,239970
2,3,16,29,196536
2,3,17,30,130233
2,3,18,22,124017
2,3,19,0,1286
1,4,1,0,184998
1,4,2,0,204032
1,4,3,0,234749
1,4,4,0,246562
1,4,5,0,186458
1,4,6,0,213799
1,4,7,0,204654
1,4,8,0,213893
1,4,9,0,243602
1,4,10,0,288986
1,4,11,0,288342
1,4,12,0,211938
1,4,13,1,212865
1,4,14,3,213065
1,4,15,1,182271
1,4,16,1,119852
1,4,17,1,66168
1,4,18,0,47052
1,4,19,0,2615
2,4,1,0,176225
2,4,2,0,194647
2,4,3,0,223121
2,4,4,0,239487
2,4,5,0,205423
2,4,6,0,230394
2,4,7,0,226991
2,4,8,0,231569
2,4,9,0,254707
2,4,10,0,294133
2,4,11,0,297977
2,4,12,0,245649
2,4,13,0,254364
2,4,14,0,259834
2,4,15,0,239970
2,4,16,1,196536
2,4,17,0,130233
2,4,18,4,124017
2,4,19,0,1286
1,5,1,0,184998
1,5,2,0,204032
1,5,3,0,234749
1,5,4,0,246562
1,5,5,1,186458
1,5,6,1,213799
1,5,7,1,204654
1,5,8,3,213893
1,5,9,3,243602
1,5,10,9,288986
1,5,11,13,288342
1,5,12,11,211938
1,5,13,16,212865
1,5,14,22,213065
1,5,15,17,182271
1,5,16,12,119852
1,5,17,8,66168
1,5,18,3,47052
1,5,19,0,2615
2,5,1,0,176225
2,5,2,0,194647
2,5,3,0,223121
2,5,4,0,239487
2,5,5,1,205423
2,5,6,1,230394
2,5,7,1,226991
2,5,8,3,231569
2,5,9,4,254707
2,5,10,4,294133
2,5,11,6,297977
2,5,12,4,245649
2,5,13,7,254364
2,5,14,10,259834
2,5,15,5,239970
2,5,16,12,196536
2,5,17,14,130233
2,5,18,4,124017
2,5,19,0,1286
1,6,1,0,184998
1,6,2,0,204032
1,6,3,0,234749
1,6,4,0,246562
1,6,5,0,186458
1,6,6,0,213799
1,6,7,0,204654
1,6,8,0,213893
1,6,9,0,243602
1,6,10,1,288986
1,6,11,1,288342
1,6,12,0,211938
1,6,13,1,212865
1,6,14,1,213065
1,6,15,2,182271
1,6,16,0,119852
1,6,17,0,66168
1,6,18,1,47052
1,6,19,0,2615
2,6,1,0,176225
2,6,2,0,194647
2,6,3,0,223121
2,6,4,0,239487
2,6,5,0,205423
2,6,6,0,230394
2,6,7,0,226991
2,6,8,0,231569
2,6,9,0,254707
2,6,10,0,294133
2,6,11,0,297977
2,6,12,1,245649
2,6,13,0,254364
2,6,14,0,259834
2,6,15,0,239970
2,6,16,0,196536
2,6,17,0,130233
2,6,18,0,124017
2,6,19,0,1286
1,7,1,0,184998
1,7,2,0,204032
1,7,3,0,234749
1,7,4,0,246562
1,7,5,1,186458
1,7,6,1,213799
1,7,7,1,204654
1,7,8,3,213893
1,7,9,3,243602
1,7,10,8,288986
1,7,11,12,288342
1,7,12,11,211938
1,7,13,15,212865
1,7,14,21,213065
1,7,15,15,182271
1,7,16,12,119852
1,7,17,8,66168
1,7,18,2,47052
