"Sex","Cancer","Age","Case","PY"
1,1,1,1376,5931001
1,1,2,750,6724010
1,1,3,1114,8577545
1,1,4,1608,9222480
1,1,5,1881,8333789
1,1,6,3618,9666126
1,1,7,6983,10063620
1,1,8,12615,11179144
1,1,9,21075,11190111
1,1,10,33796,10919525
1,1,11,53621,9883980
1,1,12,60316,7026586
1,1,13,69346,5303852
1,1,14,81601,4384287
1,1,15,80586,3294770
1,1,16,55588,1867951
1,1,17,26882,857794
1,1,18,13157,453387
1,1,19,0,0
2,1,1,1065,5567663
2,1,2,573,6192957
2,1,3,989,7776453
2,1,4,1594,8154122
2,1,5,3420,7581809
2,1,6,9856,9149276
2,1,7,19782,9670616
2,1,8,32840,10762476
2,1,9,47030,10826466
2,1,10,59850,10505639
2,1,11,65333,9735668
2,1,12,50682,7109483
2,1,13,45011,5576181
2,1,14,45035,5112577
2,1,15,44821,4406765
2,1,16,37180,3158652
2,1,17,24689,1909570
2,1,18,16605,1321730
2,1,19,0,0
1,2,1,1372,5931001
1,2,2,747,6724010
1,2,3,1101,8577545
1,2,4,1586,9222480
1,2,5,1834,8333789
1,2,6,3548,9666126
1,2,7,6889,10063620
1,2,8,12461,11179144
1,2,9,20834,11190111
1,2,10,33420,10919525
1,2,11,53015,9883980
1,2,12,59660,7026586
1,2,13,68575,5303852
1,2,14,80545,4384287
1,2,15,79451,3294770
1,2,16,54671,1867951
1,2,17,26275,857794
1,2,18,12767,453387
1,2,19,0,0
2,2,1,1062,5567663
2,2,2,565,6192957
2,2,3,974,7776453
2,2,4,1578,8154122
2,2,5,3390,7581809
2,2,6,9781,9149276
2,2,7,19705,9670616
2,2,8,32711,10762476
2,2,9,46841,10826466
2,2,10,59532,10505639
2,2,11,64916,9735668
2,2,12,50194,7109483
2,2,13,44329,5576181
2,2,14,44035,5112577
2,2,15,43292,4406765
2,2,16,35452,3158652
2,2,17,23168,1909570
2,2,18,15225,1321730
2,2,19,0,0
1,3,1,0,5931001
1,3,2,0,6724010
1,3,3,1,8577545
1,3,4,0,9222480
1,3,5,0,8333789
1,3,6,0,9666126
1,3,7,0,10063620
1,3,8,1,11179144
1,3,9,1,11190111
1,3,10,8,10919525
1,3,11,8,9883980
1,3,12,12,7026586
1,3,13,14,5303852
1,3,14,13,4384287
1,3,15,26,3294770
1,3,16,13,1867951
1,3,17,9,857794
1,3,18,3,453387
1,3,19,0,0
2,3,1,0,5567663
2,3,2,0,6192957
2,3,3,0,7776453
2,3,4,0,8154122
2,3,5,1,7581809
2,3,6,0,9149276
2,3,7,1,9670616
2,3,8,0,10762476
2,3,9,2,10826466
2,3,10,3,10505639
2,3,11,3,9735668
2,3,12,1,7109483
2,3,13,6,5576181
2,3,14,11,5112577
2,3,15,18,4406765
2,3,16,16,3158652
2,3,17,18,1909570
2,3,18,4,1321730
2,3,19,0,0
1,4,1,0,5931001
1,4,2,0,6724010
1,4,3,0,8577545
1,4,4,0,9222480
1,4,5,2,8333789
1,4,6,6,9666126
1,4,7,3,10063620
1,4,8,10,11179144
1,4,9,11,11190111
1,4,10,31,10919525
1,4,11,63,9883980
1,4,12,85,7026586
1,4,13,55,5303852
1,4,14,61,4384287
1,4,15,59,3294770
1,4,16,30,1867951
1,4,17,16,857794
1,4,18,7,453387
1,4,19,0,0
2,4,1,1,5567663
2,4,2,1,6192957
2,4,3,0,7776453
2,4,4,0,8154122
2,4,5,2,7581809
2,4,6,2,9149276
2,4,7,5,9670616
2,4,8,5,10762476
2,4,9,4,10826466
2,4,10,8,10505639
2,4,11,10,9735668
2,4,12,14,7109483
2,4,13,8,5576181
2,4,14,10,5112577
2,4,15,10,4406765
2,4,16,9,3158652
2,4,17,4,1909570
2,4,18,3,1321730
2,4,19,0,0
1,5,1,2,5931001
1,5,2,0,6724010
1,5,3,0,8577545
1,5,4,5,9222480
1,5,5,12,8333789
1,5,6,28,9666126
1,5,7,54,10063620
1,5,8,73,11179144
1,5,9,109,11190111
1,5,10,123,10919525
1,5,11,165,9883980
1,5,12,196,7026586
1,5,13,151,5303852
1,5,14,173,4384287
1,5,15,137,3294770
1,5,16,82,1867951
1,5,17,33,857794
1,5,18,17,453387
1,5,19,0,0
2,5,1,0,5567663
2,5,2,0,6192957
2,5,3,0,7776453
2,5,4,2,8154122
2,5,5,9,7581809
2,5,6,29,9149276
2,5,7,48,9670616
2,5,8,37,10762476
2,5,9,53,10826466
2,5,10,68,10505639
2,5,11,84,9735668
2,5,12,59,7109483
2,5,13,59,5576181
2,5,14,89,5112577
2,5,15,73,4406765
2,5,16,83,3158652
2,5,17,61,1909570
2,5,18,33,1321730
2,5,19,0,0
1,6,1,0,5931001
1,6,2,0,6724010
1,6,3,2,8577545
1,6,4,0,9222480
1,6,5,0,8333789
1,6,6,1,9666126
1,6,7,4,10063620
1,6,8,7,11179144
1,6,9,7,11190111
1,6,10,21,10919525
1,6,11,31,9883980
1,6,12,45,7026586
1,6,13,55,5303852
1,6,14,45,4384287
1,6,15,68,3294770
1,6,16,33,1867951
1,6,17,18,857794
1,6,18,8,453387
1,6,19,0,0
2,6,1,0,5567663
2,6,2,0,6192957
2,6,3,0,7776453
2,6,4,2,8154122
2,6,5,0,7581809
2,6,6,0,9149276
2,6,7,3,9670616
2,6,8,3,10762476
2,6,9,9,10826466
2,6,10,15,10505639
2,6,11,15,9735668
2,6,12,19,7109483
2,6,13,35,5576181
2,6,14,36,5112577
2,6,15,43,4406765
2,6,16,38,3158652
2,6,17,20,1909570
2,6,18,16,1321730
2,6,19,0,0
1,7,1,0,5931001
1,7,2,0,6724010
1,7,3,0,8577545
1,7,4,1,9222480
1,7,5,0,8333789
1,7,6,0,9666126
1,7,7,1,10063620
1,7,8,2,11179144
1,7,9,10,11190111
1,7,10,23,10919525
1,7,11,50,9883980
1,7,12,41,7026586
1,7,13,57,5303852
1,7,14,49,4384287
1,7,15,42,3294770
1,7,16,26,1867951
1,7,17,6,857794
1,7,18,8,453387
1,7,19,0,0
2,7,1,0,5567663
2,7,2,0,6192957
2,7,3,0,7776453
2,7,4,0,8154122
2,7,5,0,7581809
2,7,6,0,9149276
2,7,7,1,9670616
2,7,8,1,10762476
2,7,9,4,10826466
2,7,10,9,10505639
2,7,11,15,9735668
2,7,12,7,7109483
2,7,13,10,5576181
2,7,14,12,5112577
2,7,15,9,4406765
2,7,16,6,3158652
2,7,17,6,1909570
2,7,18,0,1321730
2,7,19,0,0
1,8,1,0,5931001
1,8,2,0,6724010
1,8,3,1,8577545
1,8,4,2,9222480
1,8,5,2,8333789
1,8,6,2,9666126
1,8,7,5,10063620
1,8,8,8,11179144
1,8,9,17,11190111
1,8,10,20,10919525
1,8,11,34,9883980
1,8,12,55,7026586
1,8,13,39,5303852
1,8,14,56,4384287
1,8,15,69,3294770
1,8,16,36,1867951
1,8,17,13,857794
1,8,18,5,453387
1,8,19,0,0
2,8,1,0,5567663
2,8,2,0,6192957
2,8,3,4,7776453
2,8,4,3,8154122
2,8,5,5,7581809
2,8,6,3,9149276
2,8,7,5,9670616
2,8,8,4,10762476
2,8,9,14,10826466
2,8,10,20,10505639
2,8,11,21,9735668
2,8,12,29,7109483
2,8,13,28,5576181
2,8,14,28,5112577
2,8,15,24,4406765
2,8,16,17,3158652
2,8,17,13,1909570
2,8,18,8,1321730
2,8,19,0,0
1,9,1,2,5931001
1,9,2,1,6724010
1,9,3,0,8577545
1,9,4,2,9222480
1,9,5,1,8333789
1,9,6,2,9666126
1,9,7,6,10063620
1,9,8,9,11179144
1,9,9,24,11190111
