"Sex","Cancer","Age","Case","PY"
2,7,5,0,171368
2,7,6,3,204692
2,7,7,2,250817
2,7,8,2,212823
2,7,9,7,186976
2,7,10,4,174028
2,7,11,0,192445
2,7,12,11,237592
2,7,13,2,193253
2,7,14,7,151545
2,7,15,8,134277
2,7,16,9,110566
2,7,17,10,81596
2,7,18,5,84117
2,7,19,0,0
1,8,1,0,143260
1,8,2,0,146182
1,8,3,0,142839
1,8,4,1,157238
1,8,5,0,163393
1,8,6,1,194106
1,8,7,0,240588
1,8,8,1,207694
1,8,9,2,184759
1,8,10,2,170386
1,8,11,6,189268
1,8,12,15,232000
1,8,13,15,182011
1,8,14,15,139713
1,8,15,12,109310
1,8,16,14,80619
1,8,17,7,45317
1,8,18,3,31662
1,8,19,0,0
2,8,1,0,136692
2,8,2,0,139552
2,8,3,0,135388
2,8,4,0,149483
2,8,5,0,171368
2,8,6,0,204692
2,8,7,0,250817
2,8,8,1,212823
2,8,9,1,186976
2,8,10,1,174028
2,8,11,4,192445
2,8,12,1,237592
2,8,13,5,193253
2,8,14,5,151545
2,8,15,5,134277
2,8,16,10,110566
2,8,17,11,81596
2,8,18,12,84117
2,8,19,0,0
1,9,1,0,143260
1,9,2,0,146182
1,9,3,0,142839
1,9,4,1,157238
1,9,5,0,163393
1,9,6,0,194106
1,9,7,0,240588
1,9,8,1,207694
1,9,9,0,184759
1,9,10,0,170386
1,9,11,0,189268
1,9,12,3,232000
1,9,13,4,182011
1,9,14,3,139713
1,9,15,3,109310
1,9,16,2,80619
1,9,17,3,45317
1,9,18,3,31662
1,9,19,0,0
2,9,1,0,136692
2,9,2,0,139552
2,9,3,0,135388
2,9,4,0,149483
2,9,5,0,171368
2,9,6,0,204692
2,9,7,0,250817
2,9,8,0,212823
2,9,9,0,186976
2,9,10,1,174028
2,9,11,0,192445
2,9,12,0,237592
2,9,13,3,193253
2,9,14,4,151545
2,9,15,1,134277
2,9,16,6,110566
2,9,17,5,81596
2,9,18,3,84117
2,9,19,0,0
1,10,1,0,143260
1,10,2,0,146182
1,10,3,0,142839
1,10,4,0,157238
1,10,5,0,163393
1,10,6,0,194106
1,10,7,0,240588
1,10,8,0,207694
1,10,9,1,184759
1,10,10,2,170386
1,10,11,4,189268
1,10,12,7,232000
1,10,13,3,182011
1,10,14,3,139713
1,10,15,3,109310
1,10,16,4,80619
1,10,17,3,45317
1,10,18,0,31662
1,10,19,0,0
2,10,1,0,136692
2,10,2,0,139552
2,10,3,0,135388
2,10,4,0,149483
2,10,5,0,171368
2,10,6,0,204692
2,10,7,0,250817
2,10,8,0,212823
2,10,9,0,186976
2,10,10,0,174028
2,10,11,2,192445
2,10,12,0,237592
2,10,13,1,193253
2,10,14,0,151545
2,10,15,1,134277
2,10,16,0,110566
2,10,17,1,81596
2,10,18,1,84117
2,10,19,0,0
1,11,1,0,143260
1,11,2,0,146182
1,11,3,0,142839
1,11,4,0,157238
1,11,5,0,163393
1,11,6,1,194106
1,11,7,0,240588
1,11,8,0,207694
1,11,9,0,184759
1,11,10,0,170386
1,11,11,1,189268
1,11,12,1,232000
1,11,13,4,182011
1,11,14,3,139713
1,11,15,1,109310
1,11,16,3,80619
1,11,17,0,45317
1,11,18,0,31662
1,11,19,0,0
2,11,1,0,136692
2,11,2,0,139552
2,11,3,0,135388
2,11,4,0,149483
2,11,5,0,171368
2,11,6,0,204692
2,11,7,0,250817
2,11,8,0,212823
2,11,9,0,186976
2,11,10,0,174028
2,11,11,0,192445
2,11,12,1,237592
2,11,13,0,193253
2,11,14,1,151545
2,11,15,0,134277
2,11,16,3,110566
2,11,17,1,81596
2,11,18,0,84117
2,11,19,0,0
1,12,1,0,143260
1,12,2,0,146182
1,12,3,0,142839
1,12,4,0,157238
1,12,5,0,163393
1,12,6,0,194106
1,12,7,0,240588
1,12,8,0,207694
1,12,9,1,184759
1,12,10,0,170386
1,12,11,1,189268
1,12,12,4,232000
1,12,13,4,182011
1,12,14,6,139713
1,12,15,5,109310
1,12,16,5,80619
1,12,17,1,45317
1,12,18,0,31662
1,12,19,0,0
2,12,1,0,136692
2,12,2,0,139552
2,12,3,0,135388
2,12,4,0,149483
2,12,5,0,171368
2,12,6,0,204692
2,12,7,0,250817
2,12,8,1,212823
2,12,9,1,186976
2,12,10,0,174028
2,12,11,2,192445
2,12,12,0,237592
2,12,13,1,193253
2,12,14,0,151545
2,12,15,3,134277
2,12,16,1,110566
2,12,17,4,81596
2,12,18,8,84117
2,12,19,0,0
1,13,1,0,143260
1,13,2,0,146182
1,13,3,0,142839
1,13,4,0,157238
1,13,5,1,163393
1,13,6,0,194106
1,13,7,5,240588
1,13,8,1,207694
1,13,9,0,184759
1,13,10,2,170386
1,13,11,4,189268
1,13,12,4,232000
1,13,13,4,182011
1,13,14,8,139713
1,13,15,2,109310
1,13,16,2,80619
1,13,17,0,45317
1,13,18,0,31662
1,13,19,0,0
2,13,1,0,136692
2,13,2,0,139552
2,13,3,0,135388
2,13,4,0,149483
2,13,5,1,171368
2,13,6,0,204692
2,13,7,2,250817
2,13,8,2,212823
2,13,9,0,186976
2,13,10,1,174028
2,13,11,1,192445
2,13,12,2,237592
2,13,13,2,193253
2,13,14,3,151545
2,13,15,4,134277
2,13,16,5,110566
2,13,17,1,81596
2,13,18,0,84117
2,13,19,0,0
1,14,1,0,143260
1,14,2,0,146182
1,14,3,0,142839
1,14,4,0,157238
1,14,5,1,163393
1,14,6,0,194106
1,14,7,4,240588
1,14,8,1,207694
1,14,9,0,184759
1,14,10,1,170386
1,14,11,4,189268
1,14,12,3,232000
1,14,13,1,182011
1,14,14,6,139713
1,14,15,2,109310
1,14,16,2,80619
1,14,17,0,45317
1,14,18,0,31662
1,14,19,0,0
2,14,1,0,136692
2,14,2,0,139552
2,14,3,0,135388
2,14,4,0,149483
2,14,5,0,171368
2,14,6,0,204692
2,14,7,2,250817
2,14,8,1,212823
2,14,9,0,186976
2,14,10,0,174028
2,14,11,0,192445
2,14,12,0,237592
2,14,13,2,193253
2,14,14,2,151545
2,14,15,2,134277
2,14,16,2,110566
2,14,17,0,81596
2,14,18,0,84117
2,14,19,0,0
1,15,1,0,143260
1,15,2,0,146182
1,15,3,0,142839
1,15,4,0,157238
1,15,5,0,163393
1,15,6,0,194106
1,15,7,1,240588
1,15,8,0,207694
1,15,9,0,184759
1,15,10,1,170386
1,15,11,0,189268
1,15,12,1,232000
1,15,13,3,182011
1,15,14,2,139713
1,15,15,0,109310
1,15,16,0,80619
1,15,17,0,45317
1,15,18,0,31662
1,15,19,0,0
2,15,1,0,136692
2,15,2,0,139552
2,15,3,0,135388
2,15,4,0,149483
2,15,5,1,171368
2,15,6,0,204692
2,15,7,0,250817
2,15,8,1,212823
2,15,9,0,186976
2,15,10,1,174028
2,15,11,1,192445
2,15,12,2,237592
2,15,13,0,193253
2,15,14,1,151545
2,15,15,2,134277
2,15,16,3,110566
2,15,17,1,81596
2,15,18,0,84117
2,15,19,0,0
1,16,1,0,143260
1,16,2,0,146182
1,16,3,0,142839
1,16,4,0,157238
1,16,5,0,163393
1,16,6,0,194106
1,16,7,0,240588
1,16,8,2,207694
1,16,9,0,184759
1,16,10,0,170386
1,16,11,3,189268
1,16,12,7,232000
1,16,13,5,182011
1,16,14,0,139713
1,16,15,5,109310
1,16,16,4,80619
1,16,17,2,45317
1,16,18,0,31662
1,16,19,0,0
2,16,1,0,136692
2,16,2,0,139552
2,16,3,0,135388
2,16,4,0,149483
2,16,5,0,171368
2,16,6,0,204692
2,16,7,0,250817
2,16,8,0,212823
2,16,9,0,186976
2,16,10,0,174028
2,16,11,0,192445
2,16,12,0,237592
2,16,13,1,193253
2,16,14,1,151545
2,16,15,0,134277
2,16,16,2,110566
2,16,17,0,81596
2,16,18,1,84117
2,16,19,0,0
1,17,1,0,143260
1,17,2,0,146182
1,17,3,0,142839
1,17,4,0,157238
1,17,5,0,163393
1,17,6,0,194106
1,17,7,0,240588
1,17,8,0,207694
1,17,9,0,184759
1,17,10,0,170386
1,17,11,7,189268
1,17,12,8,232000
1,17,13,11,182011
1,17,14,6,139713
1,17,15,9,109310
1,17,16,2,80619
1,17,17,3,45317
1,17,18,0,31662
1,17,19,0,0
2,17,1,0,136692
2,17,2,0,139552
2,17,3,0,135388
2,17,4,0,149483
2,17,5,0,171368
2,17,6,0,204692
2,17,7,0,250817
2,17,8,0,212823
2,17,9,0,186976
2,17,10,2,174028
2,17,11,2,192445
2,17,12,0,237592
2,17,13,0,193253
2,17,14,2,151545
2,17,15,0,134277
2,17,16,1,110566
2,17,17,1,81596
2,17,18,1,84117
2,17,19,0,0
1,18,1,0,143260
1,18,2,0,146182
1,18,3,0,142839
1,18,4,0,157238
1,18,5,0,163393
1,18,6,0,194106
1,18,7,0,240588
1,18,8,2,207694
1,18,9,2,184759
1,18,10,1,170386
1,18,11,0,189268
1,18,12,5,232000
1,18,13,3,182011
1,18,14,4,139713
1,18,15,0,109310
1,18,16,2,80619
1,18,17,2,45317
1,18,18,0,31662
1,18,19,0,0
2,18,1,0,136692
2,18,2,0,139552
2,18,3,0,135388
2,18,4,0,149483
2,18,5,1,171368
2,18,6,0,204692
2,18,7,0,250817
2,18,8,0,212823
2,18,9,0,186976
2,18,10,2,174028
2,18,11,1,192445
2,18,12,0,237592
2,18,13,1,193253
2,18,14,0,151545
2,18,15,0,134277
2,18,16,1,110566
2,18,17,0,81596
2,18,18,0,84117
2,18,19,0,0
1,19,1,0,143260
1,19,2,0,146182
1,19,3,0,142839
1,19,4,0,157238
1,19,5,0,163393
1,19,6,0,194106
1,19,7,0,240588
1,19,8,0,207694
1,19,9,0,184759
1,19,10,0,170386
1,19,11,2,189268
1,19,12,6,232000
1,19,13,11,182011
1,19,14,6,139713
1,19,15,11,109310
1,19,16,1,80619
1,19,17,2,45317
1,19,18,3,31662
1,19,19,0,0
2,19,1,0,136692
2,19,2,0,139552
2,19,3,0,135388
2,19,4,0,149483
2,19,5,0,171368
2,19,6,0,204692
2,19,7,0,250817
2,19,8,0,212823
2,19,9,0,186976
2,19,10,0,174028
2,19,11,0,192445
2,19,12,0,237592
2,19,13,0,193253
2,19,14,1,151545
2,19,15,0,134277
2,19,16,0,110566
2,19,17,0,81596
2,19,18,0,84117
2,19,19,0,0
1,20,1,0,143260
1,20,2,0,146182
1,20,3,0,142839
1,20,4,0,157238
1,20,5,0,163393
1,20,6,0,194106
1,20,7,0,240588
1,20,8,1,207694
1,20,9,1,184759
1,20,10,3,170386
1,20,11,10,189268
1,20,12,7,232000
1,20,13,12,182011
1,20,14,12,139713
1,20,15,13,109310
1,20,16,10,80619
1,20,17,4,45317
1,20,18,2,31662
1,20,19,0,0
2,20,1,0,136692
2,20,2,0,139552
2,20,3,0,135388
2,20,4,0,149483
2,20,5,0,171368
2,20,6,0,204692
2,20,7,0,250817
2,20,8,0,212823
2,20,9,0,186976
2,20,10,0,174028
2,20,11,2,192445
2,20,12,3,237592
2,20,13,0,193253
2,20,14,1,151545
2,20,15,0,134277
2,20,16,0,110566
2,20,17,0,81596
2,20,18,0,84117
2,20,19,0,0
1,21,1,0,143260
1,21,2,0,146182
1,21,3,0,142839
1,21,4,0,157238
1,21,5,0,163393
1,21,6,0,194106
1,21,7,0,240588
1,21,8,0,207694
1,21,9,0,184759
1,21,10,0,170386
1,21,11,2,189268
1,21,12,0,232000
1,21,13,3,182011
1,21,14,2,139713
1,21,15,3,109310
1,21,16,0,80619
1,21,17,0,45317
1,21,18,2,31662
1,21,19,0,0
2,21,1,0,136692
2,21,2,0,139552
2,21,3,0,135388
2,21,4,0,149483
2,21,5,0,171368
2,21,6,0,204692
2,21,7,0,250817
2,21,8,0,212823
2,21,9,0,186976
2,21,10,0,174028
2,21,11,0,192445
2,21,12,0,237592
2,21,13,0,193253
2,21,14,1,151545
2,21,15,0,134277
2,21,16,1,110566
2,21,17,0,81596
2,21,18,0,84117
2,21,19,0,0
1,22,1,0,143260
1,22,2,1,146182
1,22,3,0,142839
1,22,4,0,157238
1,22,5,4,163393
1,22,6,14,194106
1,22,7,36,240588
1,22,8,62,207694
1,22,9,125,184759
1,22,10,299,170386
1,22,11,643,189268
1,22,12,1280,232000
1,22,13,1489,182011
1,22,14,1669,139713
1,22,15,1811,109310
1,22,16,1581,80619
1,22,17,961,45317
1,22,18,704,31662
1,22,19,0,0
2,22,1,0,136692
2,22,2,0,139552
2,22,3,0,135388
2,22,4,0,149483
2,22,5,6,171368
2,22,6,10,204692
2,22,7,23,250817
2,22,8,68,212823
2,22,9,85,186976
2,22,10,141,174028
2,22,11,264,192445
2,22,12,517,237592
2,22,13,595,193253
2,22,14,769,151545
2,22,15,960,134277
2,22,16,974,110566
2,22,17,808,81596
2,22,18,1030,84117
2,22,19,0,0
1,23,1,0,143260
1,23,2,0,146182
1,23,3,0,142839
1,23,4,0,157238
1,23,5,0,163393
1,23,6,0,194106
1,23,7,0,240588
1,23,8,1,207694
1,23,9,3,184759
1,23,10,19,170386
1,23,11,41,189268
1,23,12,130,232000
1,23,13,128,182011
1,23,14,131,139713
1,23,15,119,109310
1,23,16,95,80619
1,23,17,46,45317
1,23,18,39,31662
1,23,19,0,0
2,23,1,0,136692
2,23,2,0,139552
2,23,3,0,135388
2,23,4,0,149483
2,23,5,0,171368
2,23,6,0,204692
2,23,7,0,250817
2,23,8,0,212823
2,23,9,0,186976
2,23,10,5,174028
2,23,11,8,192445
2,23,12,8,237592
2,23,13,17,193253
2,23,14,18,151545
2,23,15,34,134277
2,23,16,27,110566
2,23,17,24,81596
2,23,18,23,84117
2,23,19,0,0
1,24,1,0,143260
1,24,2,0,146182
1,24,3,0,142839
1,24,4,0,157238
1,24,5,0,163393
1,24,6,0,194106
1,24,7,0,240588
1,24,8,1,207694
1,24,9,2,184759
1,24,10,16,170386
1,24,11,38,189268
1,24,12,113,232000
1,24,13,120,182011
1,24,14,121,139713
1,24,15,103,109310
1,24,16,79,80619
1,24,17,36,45317
1,24,18,32,31662
1,24,19,0,0
2,24,1,0,136692
2,24,2,0,139552
2,24,3,0,135388
2,24,4,0,149483
2,24,5,0,171368
2,24,6,0,204692
2,24,7,0,250817
2,24,8,0,212823
2,24,9,0,186976
2,24,10,4,174028
2,24,11,8,192445
2,24,12,8,237592
2,24,13,15,193253
2,24,14,15,151545
2,24,15,29,134277
2,24,16,23,110566
2,24,17,18,81596
2,24,18,16,84117
2,24,19,0,0
1,25,1,0,143260
1,25,2,0,146182
1,25,3,0,142839
1,25,4,0,157238
1,25,5,0,163393
1,25,6,0,194106
1,25,7,0,240588
1,25,8,0,207694
1,25,9,1,184759
1,25,10,1,170386
1,25,11,1,189268
1,25,12,6,232000
1,25,13,1,182011
1,25,14,1,139713
1,25,15,4,109310
1,25,16,2,80619
1,25,17,1,45317
1,25,18,1,31662
1,25,19,0,0
2,25,1,0,136692
2,25,2,0,139552
2,25,3,0,135388
2,25,4,0,149483
2,25,5,0,171368
2,25,6,0,204692
2,25,7,0,250817
2,25,8,0,212823
2,25,9,0,186976
2,25,10,0,174028
2,25,11,0,192445
2,25,12,0,237592
2,25,13,0,193253
2,25,14,0,151545
2,25,15,0,134277
2,25,16,0,110566
2,25,17,1,81596
2,25,18,1,84117
2,25,19,0,0
1,26,1,0,143260
1,26,2,0,146182
1,26,3,0,142839
1,26,4,0,157238
1,26,5,0,163393
