"Sex","Cancer","Age","Case","PY"
1,1,1,1196,6701505
1,1,2,713,7504030
1,1,3,672,6733458
1,1,4,1014,7676005
1,1,5,1171,8126523
1,1,6,2080,8983229
1,1,7,3725,9226246
1,1,8,6972,8958298
1,1,9,12417,8474597
1,1,10,16972,6149834
1,1,11,23020,4725967
1,1,12,31722,4021659
1,1,13,40256,3401071
1,1,14,37923,2276487
1,1,15,29338,1354446
1,1,16,20608,835225
1,1,17,9872,397676
1,1,18,3672,179887
1,1,19,3,0
2,1,1,909,6086498
2,1,2,547,6615614
2,1,3,562,6068561
2,1,4,981,7188502
2,1,5,1773,7729156
2,1,6,3832,8594569
2,1,7,7287,8865108
2,1,8,11728,8463762
2,1,9,17070,8122500
2,1,10,16918,5969954
2,1,11,16395,4671298
2,1,12,18492,4273744
2,1,13,20653,3929509
2,1,14,20732,3108768
2,1,15,18969,2268376
2,1,16,15226,1546847
2,1,17,8736,880152
2,1,18,5090,591305
2,1,19,2,0
1,2,1,1195,6701505
1,2,2,707,7504030
1,2,3,665,6733458
1,2,4,1003,7676005
1,2,5,1155,8126523
1,2,6,2035,8983229
1,2,7,3672,9226246
1,2,8,6902,8958298
1,2,9,12300,8474597
1,2,10,16839,6149834
1,2,11,22864,4725967
1,2,12,31460,4021659
1,2,13,39921,3401071
1,2,14,37597,2276487
1,2,15,29066,1354446
1,2,16,20413,835225
1,2,17,9749,397676
1,2,18,3609,179887
1,2,19,3,0
2,2,1,907,6086498
2,2,2,545,6615614
2,2,3,557,6068561
2,2,4,977,7188502
2,2,5,1754,7729156
2,2,6,3807,8594569
2,2,7,7255,8865108
2,2,8,11672,8463762
2,2,9,16994,8122500
2,2,10,16832,5969954
2,2,11,16264,4671298
2,2,12,18330,4273744
2,2,13,20404,3929509
2,2,14,20416,3108768
2,2,15,18614,2268376
2,2,16,14903,1546847
2,2,17,8510,880152
2,2,18,4877,591305
2,2,19,2,0
1,3,1,9,6701505
1,3,2,4,7504030
1,3,3,16,6733458
1,3,4,23,7676005
1,3,5,44,8126523
1,3,6,61,8983229
1,3,7,117,9226246
1,3,8,211,8958298
1,3,9,339,8474597
